Model,RunTime(s),MSE,RMSE,MAE
LSTM,14.0257692,53092.37890625,230.41783142089844,140.51295471191406
LSTMsigmoid,14.439048999999997,53846.234375,232.04791259765625,144.53469848632812
LSTMrelu,16.255178600000008,58716.73046875,242.3153533935547,152.60646057128906
LSTMRMSprop,15.826963500000005,55038.68359375,234.60324096679688,141.149658203125
LSTM256,17.7339183,50666.98046875,225.09327697753906,139.97500610351562
LSTM64,16.813551699999977,51870.6484375,227.75128173828125,138.96763610839844
LSTM32,15.634146199999975,52642.8515625,229.4403076171875,140.15762329101562
LSTM 2,21.213915299999996,54593.4453125,233.65240478515625,143.62643432617188
LSTM 3,33.60546480000005,61621.87109375,248.23753356933594,150.8173828125
