Test,SVM,BP,DNN,LSTM
0,0.45674793981658574,0.11989173293113708,0.09987808763980865,0.08971201628446579
1,0.42929529598136573,0.11275823414325714,0.08611276000738144,0.0869055837392807
2,0.4236885281740974,0.10958489030599594,0.08596676588058472,0.0792144313454628
3,0.4456541125721118,0.09555187821388245,0.0783509910106659,0.08961358666419983
4,0.5329558600721251,0.15383130311965942,0.11748165637254715,0.14623360335826874
5,0.4450890785031013,0.10199616849422455,0.08490420132875443,0.10548622161149979
6,0.4375084385169905,0.07183004915714264,0.05822647735476494,0.10575349628925323
7,0.4552464393224527,0.10099392384290695,0.07944148033857346,0.0883616954088211
8,0.4363370583959442,0.10597344487905502,0.08371392637491226,0.08544277399778366
mean,0.45139141681719713,0.1080457361208068,0.08600848292311032,0.09741371207767063
