Test,评价指标,WPD-BP,WPD-DNN,WPD-LSTM
站点一,RMSE,0.5294029439241177,0.517046183615141,0.6076729552998047
站点一,MAE,0.2686150372028351,0.252551794052124,0.3316715657711029
站点二,RMSE,0.45631972786038566,0.46827882291962286,0.5234043623270547
站点二,MAE,0.2304527312517166,0.24552512168884277,0.2767818570137024
站点三,RMSE,0.3292364076279441,0.32104277519407665,0.3807318645160795
站点三,MAE,0.14166441559791565,0.14147883653640747,0.20214678347110748
站点四,RMSE,0.34937958651212314,0.32098068929161594,0.36154238560017343
站点四,MAE,0.16459904611110687,0.13114811480045319,0.17892906069755554
站点五,RMSE,0.5675584583590148,0.7099708021231586,0.8107961248451073
站点五,MAE,0.2536286413669586,0.318521648645401,0.3792872726917267
站点六,RMSE,0.49754460757797636,0.514517258894952,0.5796573538537568
站点六,MAE,0.26052650809288025,0.2674108147621155,0.31234174966812134
站点七,RMSE,0.6606927080202659,0.7270339338760142,0.8413892143883895
站点七,MAE,0.3539094924926758,0.3893483579158783,0.4639820158481598
站点八,RMSE,0.3846402617579611,0.3581681928168708,0.4224538364245682
站点八,MAE,0.19179317355155945,0.1610492616891861,0.21902459859848022
站点九,RMSE,0.325310763923344,0.31594843769100744,0.36733746002796247
站点九,MAE,0.13873764872550964,0.12748999893665314,0.18365025520324707
